Time,FirstHarmonic
0.000000000000000000e+00,1.942580150348889312e-01
4.081632653061224580e-01,1.744444296713591469e-01
8.163265306122449161e-01,1.209182886446311667e-01
1.224489795918367374e+00,4.863264076432821659e-02
1.632653061224489832e+00,2.274465626361043408e-02
2.040816326530612290e+00,7.478997899236872193e-02
2.448979591836734748e+00,9.620426268513718182e-02
2.857142857142857206e+00,8.544898292943522988e-02
3.265306122448979664e+00,5.028265393481133605e-02
3.673469387755102122e+00,4.844804257003752779e-03
4.081632653061224580e+00,3.656429367898535177e-02
4.489795918367347483e+00,6.090118927705798907e-02
4.897959183673469497e+00,6.349353880770257363e-02
5.306122448979591510e+00,4.630964735422241074e-02
5.714285714285714413e+00,1.723324057978753085e-02
6.122448979591837315e+00,1.345056658550150205e-02
6.530612244897959329e+00,3.623857844985141352e-02
6.938775510204081343e+00,4.544627213704542645e-02
7.346938775510204245e+00,4.034504345904983691e-02
7.755102040816327147e+00,2.474719092487594890e-02
8.163265306122449161e+00,5.073648080251970914e-03
8.571428571428571175e+00,1.239099039222934205e-02
8.979591836734694965e+00,2.250725790381748886e-02
9.387755102040816979e+00,2.385815596188342602e-02
9.795918367346938993e+00,1.765857065818065424e-02
1.020408163265306101e+01,7.358260066855332182e-03
1.061224489795918302e+01,4.778041835311900611e-03
1.102040816326530681e+01,1.254396046940869404e-02
1.142857142857142883e+01,1.624750273773365936e-02
1.183673469387755084e+01,1.546508072600636351e-02
1.224489795918367463e+01,1.122706387749216814e-02
1.265306122448979664e+01,5.226589125888559360e-03
1.306122448979591866e+01,1.215382789411325899e-03
1.346938775510204067e+01,6.193551628762549235e-03
1.387755102040816269e+01,9.519306646140866454e-03
1.428571428571428648e+01,1.049625955950508199e-02
1.469387755102040849e+01,9.186415680578322723e-03
1.510204081632653050e+01,5.846454445053025743e-03
1.551020408163265429e+01,1.333834508119588610e-03
1.591836734693877631e+01,3.940030982581899273e-03
1.632653061224489832e+01,7.982843095291970378e-03
1.673469387755102034e+01,1.008089721364953048e-02
1.714285714285714235e+01,9.804455541116575273e-03
1.755102040816326436e+01,7.201975196533249961e-03
1.795918367346938993e+01,3.207774042576252895e-03
1.836734693877551194e+01,3.033209840942242309e-03
1.877551020408163396e+01,6.926847246070663711e-03
1.918367346938775597e+01,9.449038667644942685e-03
1.959183673469387799e+01,9.600666579213568488e-03
2.000000000000000000e+01,7.688710687306146534e-03
