Time,FirstHarmonic
0.000000000000000000e+00,1.986141101913650453e-01
4.081632653061224580e-01,1.786477356289677132e-01
8.163265306122449161e-01,1.243614346519061192e-01
1.224489795918367374e+00,5.091337861612985766e-02
1.632653061224489832e+00,2.190731745278106865e-02
2.040816326530612290e+00,7.495357991116301244e-02
2.448979591836734748e+00,9.699582101672088452e-02
2.857142857142857206e+00,8.617221188462954873e-02
3.265306122448979664e+00,5.044140698107808796e-02
3.673469387755102122e+00,4.113188372957836750e-03
4.081632653061224580e+00,3.710479794478811766e-02
4.489795918367347483e+00,6.117057684952002805e-02
4.897959183673469497e+00,6.296246560486093435e-02
5.306122448979591510e+00,4.514917219849221008e-02
5.714285714285714413e+00,1.599733161427613001e-02
6.122448979591837315e+00,1.395841245027680533e-02
6.530612244897959329e+00,3.497671367871750536e-02
6.938775510204081343e+00,4.213363414056633949e-02
7.346938775510204245e+00,3.535418768961472169e-02
7.755102040816327147e+00,1.882666714114951054e-02
8.163265306122449161e+00,1.169794560882869271e-03
8.571428571428571175e+00,1.748085540738978164e-02
8.979591836734694965e+00,2.646098788346725600e-02
9.387755102040816979e+00,2.661553457522073882e-02
9.795918367346938993e+00,1.939195599389384461e-02
1.020408163265306101e+01,8.345453068807689653e-03
1.061224489795918302e+01,2.811091370920066734e-03
1.102040816326530681e+01,1.083042041583119099e-02
1.142857142857142883e+01,1.427338523657376013e-02
1.183673469387755084e+01,1.310357234947013248e-02
1.224489795918367463e+01,8.572141688724102190e-03
1.265306122448979664e+01,2.535373335921064456e-03
1.306122448979591866e+01,3.718681000683900142e-03
1.346938775510204067e+01,8.327390880541785806e-03
1.387755102040816269e+01,1.079138208511419214e-02
1.428571428571428648e+01,1.088568747516670612e-02
1.469387755102040849e+01,8.800990535265911310e-03
1.510204081632653050e+01,5.274969897635773015e-03
1.551020408163265429e+01,2.936028737285787359e-03
1.591836734693877631e+01,5.943849081113555290e-03
1.632653061224489832e+01,9.392416930292756677e-03
1.673469387755102034e+01,1.117058949402108953e-02
1.714285714285714235e+01,1.073707352059745726e-02
1.755102040816326436e+01,8.086664942058655395e-03
1.795918367346938993e+01,3.900656972803016702e-03
1.836734693877551194e+01,9.672409549694090678e-04
1.877551020408163396e+01,4.927337237002939359e-03
1.918367346938775597e+01,7.199496571564607816e-03
1.959183673469387799e+01,7.161227250974043675e-03
2.000000000000000000e+01,4.937317052164868006e-03
