Time,FirstHarmonic
0.000000000000000000e+00,1.942580150348875434e-01
4.081632653061224580e-01,1.744444296713575371e-01
8.163265306122449161e-01,1.209182886446310279e-01
1.224489795918367374e+00,4.863264076432837618e-02
1.632653061224489832e+00,2.274465626361030918e-02
2.040816326530612290e+00,7.478997899236908276e-02
2.448979591836734748e+00,9.620426268513712631e-02
2.857142857142857206e+00,8.544898292943388374e-02
3.265306122448979664e+00,5.028265393481137074e-02
3.673469387755102122e+00,4.844804257002276529e-03
4.081632653061224580e+00,3.656429367898587218e-02
4.489795918367347483e+00,6.090118927705830132e-02
4.897959183673469497e+00,6.349353880770203240e-02
5.306122448979591510e+00,4.630964735422315320e-02
5.714285714285714413e+00,1.723324057978723248e-02
6.122448979591837315e+00,1.345056658550250125e-02
6.530612244897959329e+00,3.623857844985147597e-02
6.938775510204081343e+00,4.544627213704469093e-02
7.346938775510204245e+00,4.034504345905036427e-02
7.755102040816327147e+00,2.474719092487514399e-02
8.163265306122449161e+00,5.073648080251454834e-03
8.571428571428571175e+00,1.239099039222924664e-02
8.979591836734694965e+00,2.250725790381847419e-02
9.387755102040816979e+00,2.385815596188213192e-02
9.795918367346938993e+00,1.765857065818236468e-02
1.020408163265306101e+01,7.358260066855565502e-03
1.061224489795918302e+01,4.778041835311837293e-03
1.102040816326530681e+01,1.254396046940794984e-02
1.142857142857142883e+01,1.624750273773328813e-02
1.183673469387755084e+01,1.546508072600586391e-02
1.224489795918367463e+01,1.122706387749255498e-02
1.265306122448979664e+01,5.226589125888884621e-03
1.306122448979591866e+01,1.215382789412271323e-03
1.346938775510204067e+01,6.193551628763191083e-03
1.387755102040816269e+01,9.519306646141150949e-03
1.428571428571428648e+01,1.049625955950366299e-02
1.469387755102040849e+01,9.186415680577863022e-03
1.510204081632653050e+01,5.846454445052854873e-03
1.551020408163265429e+01,1.333834508121807755e-03
1.591836734693877631e+01,3.940030982581847231e-03
1.632653061224489832e+01,7.982843095292192423e-03
1.673469387755102034e+01,1.008089721364980630e-02
1.714285714285714235e+01,9.804455541115987202e-03
1.755102040816326436e+01,7.201975196533439046e-03
1.795918367346938993e+01,3.207774042575742886e-03
1.836734693877551194e+01,3.033209840942010290e-03
1.877551020408163396e+01,6.926847246071542348e-03
1.918367346938775597e+01,9.449038667645522083e-03
1.959183673469387799e+01,9.600666579212834700e-03
2.000000000000000000e+01,7.688710687305777905e-03
