Time,FirstHarmonic
0.000000000000000000e+00,2.195599019484655856e-01
2.004008016032064188e-01,2.142021579474472359e-01
4.008016032064128376e-01,1.998727776377668963e-01
6.012024048096192841e-01,1.772057737749388739e-01
8.016032064128256751e-01,1.472161971039663009e-01
1.002004008016032177e+00,1.112702859449107851e-01
1.202404809619238568e+00,7.104564213389173710e-02
1.402805611222444959e+00,2.861899791973054191e-02
1.603206412825651350e+00,1.626021555535938495e-02
1.803607214428857741e+00,5.728113291867882595e-02
2.004008016032064354e+00,9.557042956478259410e-02
2.204408817635270523e+00,1.288747616463306600e-01
2.404809619238477136e+00,1.557218979601266706e-01
2.605210420841683305e+00,1.749812602958960295e-01
2.805611222444889918e+00,1.858624765979547955e-01
3.006012024048096087e+00,1.879270625725973920e-01
3.206412825651302700e+00,1.811005422697685163e-01
3.406813627254509314e+00,1.656831760829380051e-01
3.607214428857715482e+00,1.423567721806266728e-01
3.807615230460922096e+00,1.121809135607830105e-01
4.008016032064128709e+00,7.656760783174633433e-02
4.208416833667334878e+00,3.723049064964408655e-02
4.408817635270541047e+00,4.183062370760002105e-03
4.609218436873747216e+00,4.493884329536372568e-02
4.809619238476954273e+00,8.368900594939793214e-02
5.010020040080160442e+00,1.183885791695759027e-01
5.210420841683366611e+00,1.474174359475260709e-01
5.410821643286573668e+00,1.694715298211264265e-01
5.611222444889779837e+00,1.835996991543566992e-01
5.811623246492986006e+00,1.892193530593144768e-01
6.012024048096192175e+00,1.861193447352620101e-01
6.212424849699399232e+00,1.744545309888334284e-01
6.412825651302605401e+00,1.547412522019752379e-01
6.613226452905811570e+00,1.278502776359934368e-01
6.813627254509018627e+00,9.499093199425033551e-02
7.014028056112224796e+00,5.767346015194450837e-02
7.214428857715430965e+00,1.764884773168311563e-02
7.414829659318637134e+00,2.320235744680328865e-02
7.615230460921844191e+00,6.290519872925240397e-02
7.815631262525050360e+00,9.959303055356968915e-02
8.016032064128257417e+00,1.315490564190638922e-01
8.216432865731462698e+00,1.573094169316234248e-01
8.416833667334669755e+00,1.757236419919666337e-01
8.617234468937876812e+00,1.859935601699339025e-01
8.817635270541082093e+00,1.876949506656764577e-01
9.018036072144289150e+00,1.807832824600075772e-01
9.218436873747494431e+00,1.655915455402011405e-01
9.418837675350701488e+00,1.428202959370424019e-01
9.619238476953908545e+00,1.135203237147259514e-01
9.819639278557113826e+00,7.905721150556709043e-02
1.002004008016032088e+01,4.105595342616007865e-02
1.022044088176352794e+01,1.537080929481280051e-03
1.042084168336673322e+01,3.832520613494509731e-02
1.062124248496994028e+01,7.596004311823917332e-02
1.082164328657314734e+01,1.099020481162115148e-01
1.102204408817635262e+01,1.386427204368932964e-01
1.122244488977955967e+01,1.609516027604658561e-01
1.142284569138276673e+01,1.759143496026088216e-01
1.162324649298597201e+01,1.829526729996062140e-01
1.182364729458917907e+01,1.818322792476259331e-01
1.202404809619238435e+01,1.726631913969577936e-01
1.222444889779559141e+01,1.558939545577081309e-01
1.242484969939879846e+01,1.322990578248026960e-01
1.262525050100200374e+01,1.029571655002004954e-01
1.282565130260521080e+01,6.922126701918029923e-02
1.302605210420841786e+01,3.272599344102562757e-02
1.322645290581162314e+01,7.030993902337669132e-03
1.342685370741483020e+01,4.297847833581942140e-02
1.362725450901803725e+01,7.796883918332475627e-02
1.382765531062124253e+01,1.092512346836540665e-01
1.402805611222444959e+01,1.354270780226682069e-01
1.422845691382765487e+01,1.553980642465937478e-01
1.442885771543086193e+01,1.683684588415358674e-01
1.462925851703406899e+01,1.738550149689020718e-01
1.482965931863727427e+01,1.716865004880608614e-01
1.503006012024048133e+01,1.619981188395148430e-01
1.523046092184368838e+01,1.452258678046235707e-01
1.543086172344689366e+01,1.221031473375055881e-01
1.563126252505010072e+01,9.366570741968481550e-02
1.583166332665330778e+01,6.131930645867735702e-02
1.603206412825651483e+01,2.760686006339757234e-02
1.623246492985972012e+01,1.803152994583503282e-02
1.643286573146292540e+01,5.044952061062282084e-02
1.663326653306613423e+01,8.395683467091125118e-02
1.683366733466933951e+01,1.142796248684133792e-01
1.703406813627254479e+01,1.397806821434909030e-01
1.723446893787575362e+01,1.592586807097312041e-01
1.743486973947895891e+01,1.718160489661576529e-01
1.763527054108216419e+01,1.768527149807760657e-01
1.783567134268537302e+01,1.740772113959314360e-01
1.803607214428857830e+01,1.635186155287561838e-01
1.823647294589178358e+01,1.455405389218571988e-01
1.843687374749498886e+01,1.208460358596729484e-01
1.863727454909819770e+01,9.047570155628718858e-02
1.883767535070140298e+01,5.581321833459682025e-02
1.903807615230460826e+01,1.900218430535773051e-02
1.923847695390781709e+01,2.202249623974222859e-02
1.943887775551102237e+01,5.934795639876082329e-02
1.963927855711422765e+01,9.469019876059983631e-02
1.983967935871743649e+01,1.259330789425837649e-01
2.004008016032064177e+01,1.515547514105925475e-01
2.024048096192384705e+01,1.703429568204416211e-01
2.044088176352705588e+01,1.814126713932692758e-01
2.064128256513026116e+01,1.842288762701232152e-01
2.084168336673346644e+01,1.786192637876971856e-01
2.104208416833667528e+01,1.647774003287093558e-01
2.124248496993988056e+01,1.432624122727919336e-01
2.144288577154308584e+01,1.149892427657796673e-01
