Time,FirstHarmonic
0.000000000000000000e+00,2.237575939387236035e-01
4.081632653061224580e-01,1.831013876821979136e-01
8.163265306122449161e-01,1.168565601330638637e-01
1.224489795918367374e+00,5.496587808528898694e-02
1.632653061224489832e+00,6.368279266059811983e-02
2.040816326530612290e+00,1.075343682495954190e-01
2.448979591836734748e+00,1.294353624853206708e-01
2.857142857142857206e+00,1.258418255285085330e-01
3.265306122448979664e+00,1.042109186890745054e-01
3.673469387755102122e+00,7.242599687923709229e-02
4.081632653061224580e+00,4.326956901483553636e-02
4.489795918367347483e+00,2.790603257553592176e-02
4.897959183673469497e+00,4.201803370893288786e-02
5.306122448979591510e+00,6.937273013205537409e-02
5.714285714285714413e+00,9.607102244429591154e-02
6.122448979591837315e+00,1.113787495265485816e-01
6.530612244897959329e+00,1.111641651450521878e-01
6.938775510204081343e+00,9.301232522779298573e-02
7.346938775510204245e+00,5.815728727182493951e-02
7.755102040816327147e+00,3.079469193558423412e-02
8.163265306122449161e+00,4.492928580671480543e-02
8.571428571428571175e+00,7.017844307897939948e-02
8.979591836734694965e+00,8.485079036679446518e-02
9.387755102040816979e+00,8.322737661590376423e-02
9.795918367346938993e+00,6.740893474125549123e-02
1.020408163265306101e+01,4.733676987822953153e-02
1.061224489795918302e+01,4.385641757164703697e-02
1.102040816326530681e+01,5.348968974531276288e-02
1.142857142857142883e+01,5.333372361701208680e-02
1.183673469387755084e+01,4.342985513730555219e-02
1.224489795918367463e+01,2.536344642033522279e-02
1.265306122448979664e+01,1.424239274070791296e-02
1.306122448979591866e+01,2.525007520650397047e-02
1.346938775510204067e+01,3.707137419252019839e-02
1.387755102040816269e+01,3.722413873860884459e-02
1.428571428571428648e+01,3.087313371906361820e-02
1.469387755102040849e+01,2.443661190188159762e-02
1.510204081632653050e+01,3.171100160031333631e-02
1.551020408163265429e+01,4.546543848559446432e-02
1.591836734693877631e+01,5.493667501263188591e-02
1.632653061224489832e+01,5.901729942865313605e-02
1.673469387755102034e+01,5.532883322612238558e-02
1.714285714285714235e+01,4.703604022233627557e-02
1.755102040816326436e+01,3.662141822308472017e-02
1.795918367346938993e+01,2.353023628348045043e-02
1.836734693877551194e+01,1.593459040793537146e-02
1.877551020408163396e+01,2.196411186724649828e-02
1.918367346938775597e+01,3.892353518086246605e-02
1.959183673469387799e+01,5.672124377608545043e-02
2.000000000000000000e+01,6.934781638954073957e-02
