Time,FirstHarmonic
0.000000000000000000e+00,2.458674557225059010e-01
4.081632653061224580e-01,2.282790643689061316e-01
8.163265306122449161e-01,1.677887069021120892e-01
1.224489795918367374e+00,7.972161019523943404e-02
1.632653061224489832e+00,1.306020994024164640e-02
2.040816326530612290e+00,8.294439468027792195e-02
2.448979591836734748e+00,1.187955482481539843e-01
2.857142857142857206e+00,1.159490224502581629e-01
3.265306122448979664e+00,8.061735378909803962e-02
3.673469387755102122e+00,2.845611690022598755e-02
4.081632653061224580e+00,2.217654094846677540e-02
4.489795918367347483e+00,5.594420525937581629e-02
4.897959183673469497e+00,6.611191586240433571e-02
5.306122448979591510e+00,5.511988669401874513e-02
5.714285714285714413e+00,3.582049672197292617e-02
6.122448979591837315e+00,3.214932712808733078e-02
6.530612244897959329e+00,4.380206032388841292e-02
6.938775510204081343e+00,4.606865635938543757e-02
7.346938775510204245e+00,3.700468907056304879e-02
7.755102040816327147e+00,2.575766431480935523e-02
8.163265306122449161e+00,2.858086137918434966e-02
8.571428571428571175e+00,3.830254810432674739e-02
8.979591836734694965e+00,4.259167064422061250e-02
9.387755102040816979e+00,3.919601128473180346e-02
9.795918367346938993e+00,3.125256099577163743e-02
1.020408163265306101e+01,2.520926202740565725e-02
1.061224489795918302e+01,2.660973187794697312e-02
1.102040816326530681e+01,2.934762034593398419e-02
1.142857142857142883e+01,2.916666572041303612e-02
1.183673469387755084e+01,2.369259695257234719e-02
1.224489795918367463e+01,1.553217910201131272e-02
1.265306122448979664e+01,6.878325852800268141e-03
1.306122448979591866e+01,3.719529418077649387e-03
1.346938775510204067e+01,9.716582688073968979e-03
1.387755102040816269e+01,2.018101302792953827e-02
1.428571428571428648e+01,3.174192592187322082e-02
1.469387755102040849e+01,4.229346514396543910e-02
1.510204081632653050e+01,4.450593903415715064e-02
1.551020408163265429e+01,3.843776196418475372e-02
1.591836734693877631e+01,2.885866143600713390e-02
1.632653061224489832e+01,2.379113958700674464e-02
1.673469387755102034e+01,3.263481155867063027e-02
1.714285714285714235e+01,4.172581029482921866e-02
1.755102040816326436e+01,4.304469297236981212e-02
1.795918367346938993e+01,3.562606003012677713e-02
1.836734693877551194e+01,2.346252706837318250e-02
1.877551020408163396e+01,1.187954590783077413e-02
1.918367346938775597e+01,6.576176706050060848e-03
1.959183673469387799e+01,8.114800956635935536e-03
2.000000000000000000e+01,9.407806649161847001e-03
