Time,FirstHarmonic
0.000000000000000000e+00,2.472267242052728076e-01
4.081632653061224580e-01,2.295572121385003328e-01
8.163265306122449161e-01,1.680340799157745146e-01
1.224489795918367374e+00,7.962779959056949519e-02
1.632653061224489832e+00,1.504708090944369657e-02
2.040816326530612290e+00,8.504794959701152124e-02
2.448979591836734748e+00,1.209716541608254203e-01
2.857142857142857206e+00,1.165311768857337782e-01
3.265306122448979664e+00,7.975901290157531853e-02
3.673469387755102122e+00,2.660827137169708909e-02
4.081632653061224580e+00,2.439923718742411513e-02
4.489795918367347483e+00,5.756835962846359317e-02
4.897959183673469497e+00,6.689496882855394677e-02
5.306122448979591510e+00,5.448359009371069733e-02
5.714285714285714413e+00,3.515847815641069685e-02
6.122448979591837315e+00,3.409784252470109828e-02
6.530612244897959329e+00,4.508226062995861205e-02
6.938775510204081343e+00,4.721612682854230136e-02
7.346938775510204245e+00,3.771415226244666241e-02
7.755102040816327147e+00,2.598450188780789330e-02
8.163265306122449161e+00,2.832644744176838342e-02
8.571428571428571175e+00,3.831024504501810701e-02
8.979591836734694965e+00,4.211880000632362009e-02
9.387755102040816979e+00,3.858417307369350902e-02
9.795918367346938993e+00,3.029405789860194903e-02
1.020408163265306101e+01,2.375628997041160512e-02
1.061224489795918302e+01,2.476717878214821852e-02
1.102040816326530681e+01,2.793534425075476155e-02
1.142857142857142883e+01,2.760267925927890192e-02
1.183673469387755084e+01,2.258955616990760557e-02
1.224489795918367463e+01,1.405385773531195662e-02
1.265306122448979664e+01,6.740310861306030195e-03
1.306122448979591866e+01,4.999323623950216976e-03
1.346938775510204067e+01,1.127946600028013023e-02
1.387755102040816269e+01,2.142563917861306511e-02
1.428571428571428648e+01,3.431786533884855633e-02
1.469387755102040849e+01,4.370500597102439794e-02
1.510204081632653050e+01,4.590025139349977745e-02
1.551020408163265429e+01,3.996362006584731896e-02
1.591836734693877631e+01,2.833503685316861656e-02
1.632653061224489832e+01,2.395753938834572355e-02
1.673469387755102034e+01,3.170991733216477204e-02
1.714285714285714235e+01,3.961906267052651975e-02
1.755102040816326436e+01,4.022904063638276656e-02
1.795918367346938993e+01,3.279960903885377477e-02
1.836734693877551194e+01,1.993686265771901084e-02
1.877551020408163396e+01,9.167335636605482285e-03
1.918367346938775597e+01,8.622530877363476787e-03
1.959183673469387799e+01,1.125402831392271173e-02
2.000000000000000000e+01,1.352789823517168075e-02
