Time,FirstHarmonic
0.000000000000000000e+00,2.118767489856028530e-01
4.081632653061224580e-01,1.918176557710284669e-01
8.163265306122449161e-01,1.393992233136692183e-01
1.224489795918367374e+00,6.433344086813830298e-02
1.632653061224489832e+00,1.973751717725312146e-02
2.040816326530612290e+00,9.611418383356690187e-02
2.448979591836734748e+00,1.516902843017099156e-01
2.857142857142857206e+00,1.766278075498834144e-01
3.265306122448979664e+00,1.668222342907771383e-01
3.673469387755102122e+00,1.242600145306977516e-01
4.081632653061224580e+00,5.706728087026227692e-02
4.489795918367347483e+00,2.156062381365396463e-02
4.897959183673469497e+00,9.583735057293517323e-02
5.306122448979591510e+00,1.512796911203947436e-01
5.714285714285714413e+00,1.775244418803247903e-01
6.122448979591837315e+00,1.699712453012356961e-01
6.530612244897959329e+00,1.301715428686865406e-01
6.938775510204081343e+00,6.562853729209264242e-02
7.346938775510204245e+00,1.125044831479136455e-02
7.755102040816327147e+00,8.540423229630669799e-02
8.163265306122449161e+00,1.426017583090259944e-01
8.571428571428571175e+00,1.722367186590745280e-01
8.979591836734694965e+00,1.691616443881040488e-01
9.387755102040816979e+00,1.342773323820202758e-01
9.795918367346938993e+00,7.436151902479616604e-02
1.020408163265306101e+01,1.328903555982557721e-03
1.061224489795918302e+01,7.143436310205100725e-02
1.102040816326530681e+01,1.293081034518706596e-01
1.142857142857142883e+01,1.622668090915438954e-01
1.183673469387755084e+01,1.650090653359849169e-01
1.224489795918367463e+01,1.376041783250658013e-01
1.265306122448979664e+01,8.522859334395077591e-02
1.306122448979591866e+01,1.751620863602345798e-02
1.346938775510204067e+01,5.309091832307477610e-02
1.387755102040816269e+01,1.133880868090484800e-01
1.428571428571428648e+01,1.525209387101209013e-01
1.469387755102040849e+01,1.636406273762132380e-01
1.510204081632653050e+01,1.449209053048768903e-01
1.551020408163265429e+01,9.972347320043643826e-02
1.591836734693877631e+01,3.615344097955412728e-02
1.632653061224489832e+01,3.428801724983809168e-02
1.673469387755102034e+01,9.855049208966154550e-02
1.714285714285714235e+01,1.450174624269071899e-01
1.755102040816326436e+01,1.653251029917202908e-01
1.795918367346938993e+01,1.556507674003599351e-01
1.836734693877551194e+01,1.172195483092307311e-01
1.877551020408163396e+01,5.642940273043128147e-02
1.918367346938775597e+01,1.606531077453412365e-02
1.959183673469387799e+01,8.613866270730444197e-02
2.000000000000000000e+01,1.408559760367629199e-01
