Time,FirstHarmonic
0.000000000000000000e+00,1.987607465950678443e-01
4.081632653061224580e-01,1.786960375050769267e-01
8.163265306122449161e-01,1.244971530497689660e-01
1.224489795918367374e+00,5.134894793385151590e-02
1.632653061224489832e+00,2.069899056776825647e-02
2.040816326530612290e+00,7.320038446475249372e-02
2.448979591836734748e+00,9.474216284593488246e-02
2.857142857142857206e+00,8.377539461566937962e-02
3.265306122448979664e+00,4.830480496203946178e-02
3.673469387755102122e+00,2.732609659475266489e-03
4.081632653061224580e+00,3.756940793483520141e-02
4.489795918367347483e+00,6.049120172060951095e-02
4.897959183673469497e+00,6.131294834545973627e-02
5.306122448979591510e+00,4.275056854193665795e-02
5.714285714285714413e+00,1.329531683273675255e-02
6.122448979591837315e+00,1.631322768754702238e-02
6.530612244897959329e+00,3.685315456020246683e-02
6.938775510204081343e+00,4.321431013345582856e-02
7.346938775510204245e+00,3.566550343872216394e-02
7.755102040816327147e+00,1.864664179575727804e-02
8.163265306122449161e+00,1.610065771148708625e-03
8.571428571428571175e+00,1.730232912916713009e-02
8.979591836734694965e+00,2.552957708138240897e-02
9.387755102040816979e+00,2.490395887399992833e-02
9.795918367346938993e+00,1.727668684394000412e-02
1.020408163265306101e+01,6.277853616367783107e-03
1.061224489795918302e+01,5.707118693113078824e-03
1.102040816326530681e+01,1.316167593989625226e-02
1.142857142857142883e+01,1.615515293738408950e-02
1.183673469387755084e+01,1.455024118520690038e-02
1.224489795918367463e+01,9.548564822133006474e-03
1.265306122448979664e+01,3.030162096797739835e-03
1.306122448979591866e+01,3.335829311333618399e-03
1.346938775510204067e+01,7.872029185518030631e-03
1.387755102040816269e+01,9.891971214001222396e-03
1.428571428571428648e+01,9.191883791855603308e-03
1.469387755102040849e+01,6.317681106763191508e-03
1.510204081632653050e+01,2.152423214535120234e-03
1.551020408163265429e+01,2.618492601733466481e-03
1.591836734693877631e+01,6.349849705343853061e-03
1.632653061224489832e+01,8.511106765882065286e-03
1.673469387755102034e+01,8.708635531030437665e-03
1.714285714285714235e+01,7.014457788668504619e-03
1.755102040816326436e+01,3.982251468225513936e-03
1.795918367346938993e+01,1.694611449792904692e-03
1.836734693877551194e+01,3.680952205566917577e-03
1.877551020408163396e+01,5.385840305044705886e-03
1.918367346938775597e+01,5.347611293294679720e-03
1.959183673469387799e+01,3.564994663905592977e-03
2.000000000000000000e+01,1.173293008651378824e-03
