Time,FirstHarmonic
0.000000000000000000e+00,1.927744825592061229e-01
4.081632653061224580e-01,1.735861917853361303e-01
8.163265306122449161e-01,1.207598883635951081e-01
1.224489795918367374e+00,4.894803588349296714e-02
1.632653061224489832e+00,2.233484869055470806e-02
2.040816326530612290e+00,7.474679268690083422e-02
2.448979591836734748e+00,9.685563299259893066e-02
2.857142857142857206e+00,8.662575458791264837e-02
3.265306122448979664e+00,5.160303510032480251e-02
3.673469387755102122e+00,5.683795684739120606e-03
4.081632653061224580e+00,3.582729548622610311e-02
4.489795918367347483e+00,6.074593071184504478e-02
4.897959183673469497e+00,6.377929787236545633e-02
5.306122448979591510e+00,4.716069494944937629e-02
5.714285714285714413e+00,1.882959932236293737e-02
6.122448979591837315e+00,1.146472560491001470e-02
6.530612244897959329e+00,3.311697547173896028e-02
6.938775510204081343e+00,4.168253630605900373e-02
7.346938775510204245e+00,3.656381448517478233e-02
7.755102040816327147e+00,2.172878096069391987e-02
8.163265306122449161e+00,3.398475756395502416e-03
8.571428571428571175e+00,1.243499480018179885e-02
8.979591836734694965e+00,2.141547286582174206e-02
9.387755102040816979e+00,2.252516378573279562e-02
9.795918367346938993e+00,1.700422289338615611e-02
1.020408163265306101e+01,8.006059168013753349e-03
1.061224489795918302e+01,1.296478386019554209e-03
1.102040816326530681e+01,8.072251547320254128e-03
1.142857142857142883e+01,1.132155607432007438e-02
1.183673469387755084e+01,1.104456615953404788e-02
1.224489795918367463e+01,8.210986254612678142e-03
1.265306122448979664e+01,4.210723772851403084e-03
1.306122448979591866e+01,1.974690218938407200e-03
1.346938775510204067e+01,4.574740827746221275e-03
1.387755102040816269e+01,6.726443339833708401e-03
1.428571428571428648e+01,7.492804870052367436e-03
1.469387755102040849e+01,6.812845882225362741e-03
1.510204081632653050e+01,4.950099239735082819e-03
1.551020408163265429e+01,2.725461510267436580e-03
1.591836734693877631e+01,3.090869787830202980e-03
1.632653061224489832e+01,5.492042926368989261e-03
1.673469387755102034e+01,7.262218052324342747e-03
1.714285714285714235e+01,7.610074089495694367e-03
1.755102040816326436e+01,6.369858147049886968e-03
1.795918367346938993e+01,3.989377591451804747e-03
1.836734693877551194e+01,2.423167757050411018e-03
1.877551020408163396e+01,4.206477570081664299e-03
1.918367346938775597e+01,5.933229366945826956e-03
1.959183673469387799e+01,6.096299664095706713e-03
2.000000000000000000e+01,4.482493271810662240e-03
