Time,FirstHarmonic
0.000000000000000000e+00,1.958015438226742011e-01
4.081632653061224580e-01,1.790152034204241793e-01
8.163265306122449161e-01,1.318437395012308777e-01
1.224489795918367374e+00,6.298368064955334189e-02
1.632653061224489832e+00,1.473694037462542662e-02
2.040816326530612290e+00,8.664501253872336495e-02
2.448979591836734748e+00,1.397287735907971340e-01
2.857142857142857206e+00,1.646442369808208406e-01
3.265306122448979664e+00,1.572079269691938064e-01
3.673469387755102122e+00,1.189224173502733128e-01
4.081632653061224580e+00,5.702031408866718720e-02
4.489795918367347483e+00,1.654361910280229692e-02
4.897959183673469497e+00,8.699141374135413440e-02
5.306122448979591510e+00,1.407384321624441104e-01
5.714285714285714413e+00,1.676829842179569374e-01
6.122448979591837315e+00,1.630470939199617775e-01
6.530612244897959329e+00,1.277737644693099639e-01
6.938775510204081343e+00,6.834626923952509536e-02
7.346938775510204245e+00,4.281380238688836486e-03
7.755102040816327147e+00,7.558512124917837749e-02
8.163265306122449161e+00,1.324809793114583578e-01
8.571428571428571175e+00,1.641750587014257634e-01
8.979591836734694965e+00,1.649453185515780684e-01
9.387755102040816979e+00,1.347428601955425187e-01
9.795918367346938993e+00,7.922768826012616117e-02
1.020408163265306101e+01,9.173008650135138289e-03
1.061224489795918302e+01,6.247324061373715071e-02
1.102040816326530681e+01,1.213474984872319196e-01
1.142857142857142883e+01,1.569254336494996516e-01
1.183673469387755084e+01,1.630797325646904661e-01
1.224489795918367463e+01,1.390458821969614567e-01
1.265306122448979664e+01,8.935366373634842652e-02
1.306122448979591866e+01,2.324890191035003384e-02
1.346938775510204067e+01,4.699860657529279090e-02
1.387755102040816269e+01,1.079743346368871593e-01
1.428571428571428648e+01,1.486067358171558883e-01
1.469387755102040849e+01,1.617831463813895476e-01
1.510204081632653050e+01,1.454109184539274513e-01
1.551020408163265429e+01,1.025458031872692605e-01
1.591836734693877631e+01,4.096100608094435658e-02
1.632653061224489832e+01,2.804767238732906731e-02
1.673469387755102034e+01,9.166548110565458929e-02
1.714285714285714235e+01,1.382872985005113575e-01
1.755102040816326436e+01,1.595145499451208204e-01
1.795918367346938993e+01,1.514631899127024117e-01
1.836734693877551194e+01,1.153159785443375190e-01
1.877551020408163396e+01,5.738417223314937893e-02
1.918367346938775597e+01,1.180990559115471274e-02
1.959183673469387799e+01,7.896722642595234432e-02
2.000000000000000000e+01,1.315539901564625747e-01
