Time,FirstHarmonic
0.000000000000000000e+00,2.012334258993658254e-01
4.081632653061224580e-01,1.820675896313743158e-01
8.163265306122449161e-01,1.280990286591908167e-01
1.224489795918367374e+00,5.422195518362071809e-02
1.632653061224489832e+00,1.940219264889718118e-02
2.040816326530612290e+00,7.394211536772402060e-02
2.448979591836734748e+00,9.739801711293458175e-02
2.857142857142857206e+00,8.761188134926833904e-02
3.265306122448979664e+00,5.220365218170706922e-02
3.673469387755102122e+00,5.438935995184870052e-03
4.081632653061224580e+00,3.673596286236430197e-02
4.489795918367347483e+00,6.185968129068412230e-02
4.897959183673469497e+00,6.448476717792381296e-02
5.306122448979591510e+00,4.675300588046259198e-02
5.714285714285714413e+00,1.694552693985310055e-02
6.122448979591837315e+00,1.417242284271798269e-02
6.530612244897959329e+00,3.660107584487427151e-02
6.938775510204081343e+00,4.496499503661812586e-02
7.346938775510204245e+00,3.880859479721967403e-02
7.755102040816327147e+00,2.240509206989198948e-02
8.163265306122449161e+00,2.496661142095502311e-03
8.571428571428571175e+00,1.429729947804334045e-02
8.979591836734694965e+00,2.342561685544043010e-02
9.387755102040816979e+00,2.365281034001207386e-02
9.795918367346938993e+00,1.662240602005230633e-02
1.020408163265306101e+01,5.905256528118853557e-03
1.061224489795918302e+01,4.595095096429991158e-03
1.102040816326530681e+01,1.190096296539690929e-02
1.142857142857142883e+01,1.466358653017866068e-02
1.183673469387755084e+01,1.311271418513698141e-02
1.224489795918367463e+01,8.700681829622700439e-03
1.265306122448979664e+01,3.187921188393378399e-03
1.306122448979591866e+01,2.074094085803723352e-03
1.346938775510204067e+01,5.731612227067598743e-03
1.387755102040816269e+01,7.640604238703009241e-03
1.428571428571428648e+01,7.846200387771225943e-03
1.469387755102040849e+01,6.719475135303581634e-03
1.510204081632653050e+01,4.670586281968784267e-03
1.551020408163265429e+01,2.719689333538602947e-03
1.591836734693877631e+01,3.358464003656318111e-03
1.632653061224489832e+01,5.363324700571239084e-03
1.673469387755102034e+01,6.667306079610487921e-03
1.714285714285714235e+01,6.558918735312495307e-03
1.755102040816326436e+01,4.891228086989789572e-03
1.795918367346938993e+01,2.235921130832544974e-03
1.836734693877551194e+01,2.734610909613714811e-03
1.877551020408163396e+01,5.679804734697661318e-03
1.918367346938775597e+01,7.552568705232904148e-03
1.959183673469387799e+01,7.554218165991384397e-03
2.000000000000000000e+01,5.712387963850203837e-03
