Time,FirstHarmonic
0.000000000000000000e+00,2.484686091543920894e-01
4.081632653061224580e-01,2.307251749668057239e-01
8.163265306122449161e-01,1.683188843419416991e-01
1.224489795918367374e+00,7.841793292674614779e-02
1.632653061224489832e+00,1.614128795687928483e-02
2.040816326530612290e+00,8.702016443402732504e-02
2.448979591836734748e+00,1.221930997362256910e-01
2.857142857142857206e+00,1.170032117164157281e-01
3.265306122448979664e+00,7.900506947654177548e-02
3.673469387755102122e+00,2.497110320237907327e-02
4.081632653061224580e+00,2.630009543176933459e-02
4.489795918367347483e+00,5.893206957539822571e-02
4.897959183673469497e+00,6.694267034473359856e-02
5.306122448979591510e+00,5.390696710640575234e-02
5.714285714285714413e+00,3.476928410025156152e-02
6.122448979591837315e+00,3.555417187265922513e-02
6.530612244897959329e+00,4.688301889939736761e-02
6.938775510204081343e+00,4.823171437704090736e-02
7.346938775510204245e+00,3.768362774414800442e-02
7.755102040816327147e+00,2.527960115218809423e-02
8.163265306122449161e+00,2.841034230448933814e-02
8.571428571428571175e+00,3.847420960732020334e-02
8.979591836734694965e+00,4.217801231006054752e-02
9.387755102040816979e+00,3.789860665795383859e-02
9.795918367346938993e+00,2.880135742639595292e-02
1.020408163265306101e+01,2.206240501687695144e-02
1.061224489795918302e+01,2.308398710073474719e-02
1.102040816326530681e+01,2.640937321065712010e-02
1.142857142857142883e+01,2.608159253916747175e-02
1.183673469387755084e+01,2.071928937070681778e-02
1.224489795918367463e+01,1.206834051616115580e-02
1.265306122448979664e+01,3.593083260591126756e-03
1.306122448979591866e+01,2.382708688893641225e-03
1.346938775510204067e+01,8.654794489920097922e-03
1.387755102040816269e+01,1.900073624437339376e-02
1.428571428571428648e+01,3.155827052772079006e-02
1.469387755102040849e+01,4.160692030853122697e-02
1.510204081632653050e+01,4.416277407213910211e-02
1.551020408163265429e+01,3.828397968482857155e-02
1.591836734693877631e+01,2.779597523458099406e-02
1.632653061224489832e+01,2.512291349802379253e-02
1.673469387755102034e+01,3.452240819211405132e-02
1.714285714285714235e+01,4.283055009804413032e-02
1.755102040816326436e+01,4.285815429711071350e-02
1.795918367346938993e+01,3.378740154786633726e-02
1.836734693877551194e+01,1.940420538286060162e-02
1.877551020408163396e+01,6.211509077133971560e-03
1.918367346938775597e+01,8.545619771137264245e-03
1.959183673469387799e+01,1.271875226856397471e-02
2.000000000000000000e+01,1.501453104409385120e-02
